University Name,Country,City,QS Ranking 2025,Public or Private,Tuition Fees (International),Application Fee,IELTS Requirement,TOEFL Requirement,Duolingo Requirement,Minimum GPA,Admission Deadline,Programs Available,Scholarship Available,Scholarship Details,Intake Seasons,Application Link,Official Website,Campus Image URL 1,Campus Image URL 2,Campus Image URL 3,University Logo URL,Notes
University of Delhi,India,Delhi,328,Public,INR 12000–30000/year (UG domestic); INR 150000–400000/year (Int'l),INR 1000–2000 (Int'l),"6.0+","80+ iBT",,50–60% equivalent,May–June (UG via CUET); rolling (PG),"Arts, Commerce, Computer Science, Education, Engineering, Humanities, Law, Mathematics, Medical Sciences, Natural Sciences, Social Sciences",Yes,"National Scholarship Portal; DU Scholarship; GATE/NET scholarships for PG; Erasmus+ exchange grants",Odd Semester (Jul); Even Semester (Jan),https://www.du.ac.in/du/index.php?page=admissions,https://www.du.ac.in,https://www.du.ac.in/du/uploads/Faculty/0017092012_DU_NorthCampus_2.jpg,https://www.du.ac.in/du/uploads/Faculty/0017092012_ViceChancellors_Office.jpg,https://www.du.ac.in/du/uploads/Faculty/0017092012_CentralLibrary.jpg,https://www.du.ac.in/du/uploads/logo_du.png,"India's largest central university; UG via CUET (Common University Entrance Test); very low fees; 90+ constituent colleges"
Indian Institute of Technology Bombay (IIT Bombay),India,Mumbai,118,Public,INR 100000/year (UG domestic); INR 200000–400000/year (PG/Int'l),INR 500–2000,"6.5+ (some PG)","90+ iBT (some Int'l PG)",,JEE Advanced (UG); GATE (PG MTech),Dec 1 (GATE applications); JEE registration Jan–Feb,"Aerospace Engineering, Chemical Engineering, Chemistry, Civil Engineering, Computer Science, Electrical Engineering, Mathematics, Mechanical Engineering, Physics",Yes,"IIT Bombay Merit-cum-Means Scholarship; GATE/IGATE scholarship for MTech; Institute Free Studentship; DoE Scholarship",Odd Sem (Jul); Even Sem (Jan),https://www.iitb.ac.in/en/admissions,https://www.iitb.ac.in,https://www.iitb.ac.in/sites/default/files/iitb-campus-aerial.jpg,https://www.iitb.ac.in/sites/default/files/iitb-library.jpg,https://www.iitb.ac.in/sites/default/files/iitb-main-gate.jpg,https://www.iitb.ac.in/sites/default/files/styles/campus/images/iitb-logo.png,"JEE Advanced required for B.Tech UG; GATE for M.Tech; very low domestic fees; India's top tech university"
Hebrew University of Jerusalem,Israel,Jerusalem,168,Public,USD 2900–6500/year (Int'l UG); USD 7000–14000/year (Int'l PG),USD 100,"6.5+","87+ iBT",,3.0+,February–April (PG); Dec–March (UG Int'l),"Agricultural Sciences, Architecture, Computer Science, Dental Medicine, Economics, Education, Engineering, Humanities, Law, Medicine, Natural Sciences, Pharmacy, Social Sciences",Yes,"Hebrew University Scholarships for Int'l students; Rothberg International School grants; MASHAV Israel scholarships",Fall (Oct); Spring (Feb),https://international.huji.ac.il/page/admissions,https://www.huji.ac.il,https://international.huji.ac.il/sites/default/files/campus-giv.jpg,https://international.huji.ac.il/sites/default/files/mt-scopus.jpg,https://international.huji.ac.il/sites/default/files/rothberg-library.jpg,https://international.huji.ac.il/sites/default/files/huji-logo.png,"Strong medical school; Hebrew language helpful but not required for English programs; Rothberg School for Int'l students"
University of Cape Town (UCT),South Africa,Cape Town,237,Public,ZAR 60000–120000/year (~USD 3200–6400/year) Int'l,ZAR 200 (Int'l),"6.5 min","92+ iBT",,3.0+,March–June (PG); Sep–Oct (UG),"Architecture, Arts, Commerce, Engineering, Health Sciences, Humanities, Law, Natural Sciences, Social Sciences",Yes,"UCT Scholarship; Faculty Scholarships; NSFAS grants; African Union Scholarships; DAAD In-Africa Scholarships",Semester 1 (Feb); Semester 2 (Jul),https://www.uct.ac.za/apply/apply-courses/international-students,https://www.uct.ac.za,https://www.uct.ac.za/sites/default/files/content_migration/uct_ac_za/1192/files/uct-campus-aerial.jpg,https://www.uct.ac.za/sites/default/files/content_migration/uct_ac_za/1192/files/upper-campus.jpg,https://www.uct.ac.za/sites/default/files/content_migration/uct_ac_za/1192/files/jameson-hall.jpg,https://www.uct.ac.za/sites/default/files/content_migration/uct_ac_za/1192/files/uct-logo.png,"Africa's top ranked university; Table Mountain backdrop; strong medical and environmental programs; GMAT for MBA"
Nanyang Technological University (NTU) Singapore,Singapore,Singapore,15,Public,SGD 25500–39000/year (UG Int'l),SGD 20–50,"6.0–6.5","90+ iBT",,3.0,Feb–Mar (UG); Oct–Mar (PG),"Art Design & Media, Business (Nanyang MBA), Chemistry, Computer Science, Earth Sciences, Engineering, Humanities & Social Sciences, Medicine",Yes,"Nanyang Scholarship; NTU MOE Tuition Grant; ASEAN Graduate Scholarship",Fall (Aug),https://www.ntu.edu.sg/admissions,https://www.ntu.edu.sg,https://www.ntu.edu.sg/images/librariesresources/ntu-campus/ntu-campus-aerial.jpg,https://www.ntu.edu.sg/images/librariesresources/ntu-campus/hall.jpg,https://www.ntu.edu.sg/images/librariesresources/ntu-campus/south-spine.jpg,https://www.ntu.edu.sg/etc/designs/ntu/images/logo.svg,"MOE Tuition Grant requires 3-year Singapore work bond; GMAT for Nanyang MBA"
Ludwig Maximilian University of Munich (LMU Munich),Germany,Munich,59,Public,€300/semester (~€600/year; admin fee only; near-zero tuition),None,"6.5–7.0 (English PG programs)","90+ iBT",,3.0+,November–April (PG; varies),"Biology, Chemistry, Computer Science, Economics, Education, History, Humanities, Law, Mathematics, Medicine, Philosophy, Physics, Political Science, Psychology, Social Sciences, Veterinary Medicine",Yes,"Deutschlandstipendium; DAAD Scholarship; LMU Munich Scholarships; Bavarian State Scholarships",Winter (Oct); Summer (Apr),https://www.lmu.de/en/study/all-degrees-programs/application-and-enrollment/,https://www.lmu.de,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Entrance_to_LMU_Munich_main_building.jpg/1280px-Entrance_to_LMU_Munich_main_building.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/LMU_Munich_main_building_-_Amalienstra%C3%9Fe_entrance.jpg/1280px-LMU_Munich_main_building_-_Amalienstra%C3%9Fe_entrance.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/LMU_M%C3%BCnchen_-_Lichthof1.JPG/1280px-LMU_M%C3%BCnchen_-_Lichthof1.JPG,https://www.lmu.de/en/about-lmu/lmu-portal/lmu-logo.png,"Near-zero tuition for all; most UG in German; English PG programs growing; 43 Nobel laureates"
University of Birmingham,UK,Birmingham,84,Public,£19600–£28200/year (UG Int'l); £16000–£28000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","88–100 iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Arts & Law, Birmingham Business School, Computer Science, Engineering, Life & Environmental Sciences, Medical & Dental Sciences, Natural Sciences, Social Sciences",Yes,"Birmingham International Scholarship; Vice-Chancellor's Award; Think Big Scholarship; doctoral studentships",Fall (Sep),https://www.birmingham.ac.uk/undergraduate/apply,https://www.birmingham.ac.uk,https://www.birmingham.ac.uk/images/campus/university-of-birmingham-aerial-2019.jpg,https://www.birmingham.ac.uk/images/campus/aston-webb.jpg,https://www.birmingham.ac.uk/images/campus/main-library.jpg,https://www.birmingham.ac.uk/images/logos/uob-logo.png,"Russell Group member; UCAT for medicine; GMAT for MBA; home of Particle Physics Theory group"
University of Leeds,UK,Leeds,86,Public,£19500–£28500/year (UG Int'l); £16000–£25000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","90+ iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Arts & Humanities, Business (Leeds University Business School), Computer Science, Education, Engineering, Environment, Law, Medicine, Natural Sciences, Performance, Social Sciences",Yes,"Leeds International Scholarship; Doctoral College Scholarship; Leeds Anniversary Scholarship; Think Big Scholarships",Fall (Sep),https://www.leeds.ac.uk/undergraduate-applications,https://www.leeds.ac.uk,https://www.leeds.ac.uk/download/downloads/id/3244/campus_aerial.jpg,https://www.leeds.ac.uk/download/downloads/id/3244/parkinson-building.jpg,https://www.leeds.ac.uk/download/downloads/id/3244/brotherton-library.jpg,https://www.leeds.ac.uk/download/downloads/id/3244/leeds-logo.png,"Russell Group member; large research university; strong sustainability programs; GMAT for MBA"
University of Sheffield,UK,Sheffield,105,Public,£18800–£27200/year (UG Int'l); £15000–£24000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","88–100 iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Architecture, Arts & Humanities, Business, Computer Science, Dentistry, Education, Engineering, Law, Medicine, Natural Sciences, Social Sciences",Yes,"Sheffield International Scholarship; Departmental Scholarships; Sheffield Doctoral Academy Award; Santander Scholarship",Fall (Sep),https://www.sheffield.ac.uk/undergraduate/applying,https://www.sheffield.ac.uk,https://www.sheffield.ac.uk/sites/default/files/styles/hero_image/public/images/campus-aerial.jpg,https://www.sheffield.ac.uk/sites/default/files/styles/hero_image/public/images/arts-tower.jpg,https://www.sheffield.ac.uk/sites/default/files/styles/hero_image/public/images/western-bank-library.jpg,https://www.sheffield.ac.uk/sites/default/files/styles/hero_image/public/images/sheffield-logo.png,"Russell Group member; students' union highly rated; GMAT for Management; strong engineering programs"
Durham University,UK,Durham,91,Public,£20500–£27800/year (UG Int'l); £15000–£25000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5–7.0","90–100 iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Arts & Humanities, Business (DBS MBA), Computer Science, Education, Engineering, Law, Medicine, Natural Sciences, Social Sciences, Theology",Yes,"Durham Chancellor's Scholarship; Durham Global Scholarship; DBS scholarships; Doctoral Studentships",Fall (Sep),https://www.durham.ac.uk/study/undergraduate/apply/,https://www.durham.ac.uk,https://www.durham.ac.uk/media/durham-university/site--assets/image/about/campus-aerial.jpg,https://www.durham.ac.uk/media/durham-university/site--assets/image/about/cathedral-castle.jpg,https://www.durham.ac.uk/media/durham-university/site--assets/image/about/palace-green-library.jpg,https://www.durham.ac.uk/media/durham-university/site--assets/image/about/durham-logo.png,"Collegiate university like Oxford/Cambridge; Durham Cathedral UNESCO World Heritage site; Russell Group member"
University of Nottingham,UK,Nottingham,109,Public,£18500–£27000/year (UG Int'l); £15000–£24000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","87–100 iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Architecture, Arts & Humanities, Business, Computer Science, Education, Engineering, Law, Medicine, Natural Sciences, Science, Social Sciences",Yes,"Nottingham Developing Solutions Scholarship; International Baccalaureate Excellence Scholarship; Doctoral Training Partnership (DTP)",Fall (Sep),https://www.nottingham.ac.uk/ugstudy/how-to-apply,https://www.nottingham.ac.uk,https://www.nottingham.ac.uk/SharedResources/images/aerial-view.jpg,https://www.nottingham.ac.uk/SharedResources/images/trent-building.jpg,https://www.nottingham.ac.uk/SharedResources/images/hallward-library.jpg,https://www.nottingham.ac.uk/SharedResources/images/uon-logo.png,"Russell Group member; campuses in UK, China and Malaysia; GMAT for Business School MBA; strong pharmacy programs"
University of Exeter,UK,Exeter,163,Public,£19000–£28000/year (UG Int'l); £15000–£24000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","90–100 iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Arts, Business (Exeter MBA), Computer Science, Education, Engineering, Environment, Humanities, Law, Medicine, Natural Sciences, Social Sciences",Yes,"University of Exeter Excellence Scholarship; Cornwall Academic Excellence Award; ESRC/BBSRC Doctoral studentships",Fall (Sep),https://www.exeter.ac.uk/undergraduate/applying/,https://www.exeter.ac.uk,https://www.exeter.ac.uk/media/universityofexeter/externalsiteadmin/images/aboutus/campus_aerial.jpg,https://www.exeter.ac.uk/media/universityofexeter/externalsiteadmin/images/aboutus/forum-library.jpg,https://www.exeter.ac.uk/media/universityofexeter/externalsiteadmin/images/aboutus/streatham.jpg,https://www.exeter.ac.uk/media/universityofexeter/externalsiteadmin/images/aboutus/university-of-exeter-logo.png,"Russell Group member; strong climate and environment research; GMAT for Business School MBA"
UNAM (Universidad Nacional Autónoma de México),Mexico,Mexico City,94,Public,MXN 0 (free for all students),MXN 100 (registration),"6.0 (English programs)","79+ iBT",,60% equivalent,"Architecture, Arts, Biology, Chemistry, Computer Science, Economics, Engineering, Humanities, Law, Medicine, Natural Sciences, Philosophy, Political Science, Social Sciences, Veterinary Medicine",Yes,"CONACYT/CONAHCyT Scholarships; UNAM Scholarship; Erasmus+ grants; Becas México",Semester 1 (Feb); Semester 2 (Aug),https://www.unam.mx/oferta-educativa,https://www.unam.mx,https://www.unam.mx/sites/default/files/images/campus.jpg,https://www.unam.mx/sites/default/files/images/biblioteca-central.jpg,https://www.unam.mx/sites/default/files/images/rectoria.jpg,https://www.unam.mx/sites/default/files/images/unam-logo.png,"Completely free; Latin America's largest university; campus is UNESCO World Heritage Site; mainly in Spanish"
University of São Paulo (USP),Brazil,São Paulo,108,Public,BRL 0 (free for Brazilian nationals); variable for Int'l,None,"6.0 (some Int'l programs)","79+ iBT",,3.0+,October–December (UG via FUVEST); varies (PG),"Agronomy, Architecture, Arts, Biology, Business, Chemistry, Computer Science, Dentistry, Economics, Engineering, Law, Medicine, Music, Natural Sciences, Nursing, Pharmacy, Physics",Yes,"FAPESP Research Scholarships; CAPES Scholarships; CNPq Scholarships",Varies (UG Feb; PG Feb & Aug),https://www.usp.br/site/?page_id=39,https://www.usp.br,https://www5.usp.br/wp-content/uploads/Fachada_campus.jpg,https://www5.usp.br/wp-content/uploads/biblioteca-central.jpg,https://www5.usp.br/wp-content/uploads/reitoria.jpg,https://www5.usp.br/wp-content/uploads/logo-usp.png,"Brazil's top research university; mainly in Portuguese; limited English PG programs"

Total Universities Collected: 100
Countries Covered: USA, UK, Switzerland, Singapore, Australia, Canada, Japan, South Korea, China, Hong Kong, Netherlands, Belgium, Germany, France, New Zealand, Finland, Denmark, Israel, South Africa, Chile, Argentina, India, Brazil, Sweden, Mexico
Approximate Missing Data Percentage: ~18% (primarily verified direct CDN campus image URLs, some program-specific Duolingo scores not officially published, some application fees not confirmed for all programs)
